"Source:","C:\Users\Kai Roy\Desktop\ECE 44x\44x Final PCB\44x Final PCB.kicad_sch"
"Date:","2/22/2023 10:40:46 PM"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","47"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey","Mouser"
"","","C1","1uF","Device:C_Small","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","https://www.mouser.com/ProductDetail/Wurth-Elektronik/860020672005?qs=0KOYDY2FL29w5cS8aahRvQ%3D%3D","","710-860020672005"
"","","C2","100uF","Device:C_Small","Capacitor_SMD:C_Elec_10x10.2","https://www.mouser.com/ProductDetail/KEMET/A781MN107M1HLAS030?qs=sGAEpiMZZMs9%2FSpGH%2Fyc7H4DtwGVYQ5J23T0k9xY%252BjvOSRgasxKSFw%3D%3D","","80-A781MN107M1HLAS30"
"","","C3","470pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","581-0805YC471K"
"","","C4","470uF","Device:C_Small","Capacitor_SMD:CP_Elec_8x10","https://www.mouser.com/ProductDetail/KYOCERA-AVX/APZ0809471M010R?qs=sGAEpiMZZMs9%2FSpGH%2Fyc7H4DtwGVYQ5JYTBc4s7XuVJRblxwyeX4hA%3D%3D","","581-APZ0809471M010R"
"","","C5","22pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","80-C0805C220J4HACTU"
"","","C6","4.7uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","81-GCJ21BR71C475KA1L"
"","","C7","22pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","80-C0805C220J4HACTU"
"","","C8","22pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","80-C0805C220J4HACTU"
"","","C9","10uF/16V","Device:C_Polarized","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","","80-C1206C106Z4VACTU"
"","","C10","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","581-0805YC104M4T2A"
